id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6521,Yerry Mina,8,720,0,0.8269854821264744,0,0,9,0,1,0,D,Everton,0,0.8269854821264744,0.9655384905636311,0.9655384905636311
6532,Martin Dubravka,8,720,0,0,0,0,0,0,0,0,GK,Newcastle United,0,0,0.5338255232200027,0.5338255232200027
6542,Jürgen Locadia,2,84,0,0.3997017852962017,0,0,2,0,0,0,F S,Brighton,0,0.3997017852962017,0.10170037858188152,0.043615104630589485
6630,Joe Willock,7,303,0,0.10947296768426895,0,0.4007529728114605,3,7,0,0,M S,Arsenal,0,0.10947296768426895,1.7158982679247856,1.4149373397231102
6756,Dwight McNeil,8,706,0,0.3254495933651924,2,1.55928086489439,10,8,0,0,M,Burnley,0,0.3254495933651924,2.3352957256138325,0.844855822622776
6817,Fred,4,143,0,0.02820979431271553,0,0.16798698902130127,2,3,1,0,M S,Manchester United,0,0.02820979431271553,0.25982677564024925,0.15478871203958988
6849,Rui Patrício,8,720,0,0,0,0,0,0,0,0,GK,Wolverhampton Wanderers,0,0,0.3331596739590168,0.3331596739590168
6850,Willy Boly,7,630,0,0,1,0.9117432646453381,0,5,0,1,D,Wolverhampton Wanderers,0,0,2.423205366358161,1.5700475219637156
6851,Conor Coady,8,720,0,0,0,0.02750217169523239,0,1,1,0,D,Wolverhampton Wanderers,0,0,1.0855696890503168,1.0580675173550844
6856,Rúben Vinagre,2,166,0,0.033274199813604355,0,0,1,0,1,0,M,Wolverhampton Wanderers,0,0.033274199813604355,0.033274199813604355,0
6857,Morgan Gibbs-White,3,115,0,0.07185499556362629,0,0.0708760917186737,2,3,0,0,M S,Wolverhampton Wanderers,0,0.07185499556362629,0.30642930790781975,0.19279927760362625
6891,Ryan Fredericks,8,711,0,0,1,0.6635474748909473,0,9,2,0,D,West Ham,0,0,2.134012706577778,1.801479272544384
6892,Fabián Balbuena,2,91,0,0,0,0,0,0,1,0,D S,West Ham,0,0,0,0
6893,Stuart Armstrong,6,53,0,0.32500399090349674,0,0,2,0,1,0,S,Southampton,0,0.32500399090349674,1.1134415660053492,0.7884376049041748
7078,Sean Longstaff,6,443,0,0.11632531322538853,1,0.685908854007721,4,9,1,0,M S,Newcastle United,0,0.11632531322538853,0.7310164645314217,0.591504193842411
7152,Björn Engels,8,707,0,0.1789148598909378,0,0,2,0,1,0,D,Aston Villa,0,0.1789148598909378,2.7277097553014755,2.7277097553014755
7198,Oliver Skipp,2,2,0,0,0,0,0,0,0,0,S,Tottenham,0,0,0,0
7236,Leander Dendoncker,8,593,0,0.6950829401612282,0,0.11218187212944031,4,2,0,0,M S,Wolverhampton Wanderers,0,0.6950829401612282,1.7747114412486553,1.4965642485767603
7280,Yan Valery,4,326,0,0.13340546190738678,0,1.143116295337677,1,2,0,0,D M,Southampton,0,0.13340546190738678,1.535491943359375,0.8226042985916138
7281,Diogo Dalot,1,62,0,0,0,0,0,0,0,0,D,Manchester United,0,0,0.018821140751242638,0.018821140751242638
7322,Bukayo Saka,3,216,0,0.6451331526041031,1,0.9127371460199356,4,5,0,0,F M,Arsenal,0,0.6451331526041031,2.207362711429596,1.2236878722906113
7382,Dan Burn,8,720,0,0.8967155758291483,0,0.7544943988323212,6,7,0,0,D M,Brighton,0,0.8967155758291483,3.2993182837963104,2.423068191856146
7420,Miguel Almirón,8,671,0,1.268758662045002,0,0.07071123458445072,11,3,2,0,F M,Newcastle United,0,1.268758662045002,1.9673557057976723,0.7024302519857883
7439,Tahith Chong,2,20,0,0,0,0,0,0,0,0,S,Manchester United,0,0,0.014117863029241562,0.014117863029241562
7490,Mason Greenwood,6,74,0,0.22770193219184875,0,0,4,0,0,0,S,Manchester United,0,0.22770193219184875,0.22770193219184875,0
7688,Max Aarons,6,540,0,0.17677532695233822,0,0.7955951392650604,5,3,2,0,D,Norwich,0,0.17677532695233822,3.1927784718573093,2.492839425802231
7689,Ben Godfrey,8,720,0,0.10824164655059576,0,0,3,0,0,0,D,Norwich,0,0.10824164655059576,2.7699785977602005,2.7609801292419434
7690,Grant Hanley,3,270,0,0.13126046396791935,0,0,2,0,0,0,D,Norwich,0,0.13126046396791935,0.46258555352687836,0.46258555352687836
7691,Jamal Lewis,8,720,0,0.01665405184030533,0,0.5635909419506788,1,7,0,0,D,Norwich,0,0.01665405184030533,1.849834367632866,1.3481277078390121
7692,Tom Trybull,4,335,0,0.05510001443326473,0,0.05025540664792061,2,1,0,0,M,Norwich,0,0.05510001443326473,1.423277623951435,1.423277623951435
7694,Marco Stiepermann,8,624,0,0.8736140951514244,0,0.5561820715665817,13,5,2,0,M,Norwich,0,0.8736140951514244,3.632501147687435,2.4055621828883886
7697,Onel Hernández,1,17,0,0.049240197986364365,0,0,1,0,0,0,S,Norwich,0,0.049240197986364365,0.058238666504621506,0.008998467586934566
7699,Adam Webster,5,450,0,0.037213440984487534,0,0.30616342183202505,1,4,1,0,D,Brighton,0,0.037213440984487534,1.0472984313964844,0.899911679327488
7700,Che Adams,7,469,0,2.568230677396059,0,0.8260581213980913,13,6,0,0,F S,Southampton,0,2.568230677396059,2.6492239832878113,0.3458316996693611
7702,Dean Henderson,8,720,0,0.03304080665111542,0,0,1,0,1,0,GK,Sheffield United,0,0.03304080665111542,0,0
7703,John Egan,8,720,0,0.03146170452237129,0,0,1,0,0,0,D,Sheffield United,0,0.03146170452237129,1.2290814146399498,1.2290814146399498
7704,Chris Basham,8,692,0,0.22099622525274754,0,0.4263857025653124,3,2,0,0,D,Sheffield United,0,0.22099622525274754,1.3061186708509922,1.0851224511861801
7705,Jack O&#039;Connell,8,720,0,0.3174935467541218,0,0.04125465452671051,6,1,1,0,D,Sheffield United,0,0.3174935467541218,1.7990475902333856,1.7990475902333856
7706,George Baldock,8,720,0,0.07915525324642658,1,0.22050278261303902,3,4,2,0,M,Sheffield United,0,0.07915525324642658,2.3252791203558445,2.130666885524988
7707,Enda Stevens,8,720,0,0.15077852085232735,1,0.76886220369488,4,8,0,0,M,Sheffield United,0,0.15077852085232735,2.741395525634289,2.3983900621533394
7709,John Fleck,6,478,0,0.4754875609651208,0,0.8933677412569523,9,9,2,0,M,Sheffield United,0,0.4754875609651208,1.7538285721093416,0.5434333020821214
7710,Oliver Norwood,8,684,0,0.12429321836680174,0,1.0308473370969296,4,17,1,0,M,Sheffield United,0,0.12429321836680174,1.787463504821062,1.6354828383773565
7711,David McGoldrick,5,325,0,2.409532308578491,0,0,10,0,0,0,F S,Sheffield United,0,2.409532308578491,2.255536513403058,0.24630537815392017
7713,Luke Freeman,4,243,0,0.034158024936914444,0,0.10943973064422607,2,2,1,0,M S,Sheffield United,0,0.034158024936914444,0.5467128157615662,0.40311507135629654
